Seq,1:Fx,1:Fy,1:Fz,1:Mx,1:My,1:Mz,1:COPx,1:COPy,2:Fx,2:Fy,2:Fz,2:Mx,2:My,2:COPx,2:COPy
0.000000,29.123137,-3.727113,328.009247,35.560249,27.521883,-1.193322,-0.083906,0.108412,-24.996277,-4.007747,315.146332,29.343859,-15.712540,0.049858,0.093112
1.000000,29.347574,-3.510123,328.365540,35.619919,27.582571,-1.264690,-0.084000,0.108476,-24.997692,-4.006241,314.783630,29.413031,-15.664587,0.049763,0.093439
2.000000,29.347237,-3.513441,329.087677,35.620934,27.583872,-1.264563,-0.083819,0.108241,-24.999313,-4.008686,314.779419,29.412130,-15.566433,0.049452,0.093437
3.000000,29.347019,-3.511505,328.359589,35.759796,27.583567,-1.264595,-0.084004,0.108904,-24.998875,-4.007158,314.415894,29.342875,-15.615572,0.049665,0.093325
4.000000,29.342321,-3.737257,328.706268,35.842449,27.634733,-1.294206,-0.084071,0.109041,-24.996277,-4.007747,315.146332,29.343859,-15.712540,0.049858,0.093112
5.000000,29.562473,-3.744727,330.163025,35.845085,27.646692,-1.252088,-0.083736,0.108568,-25.000498,-4.007698,314.048340,29.412943,-15.664443,0.049879,0.093657
6.000000,29.567577,-3.520003,330.179840,35.832081,27.644915,-1.222412,-0.083727,0.108523,-25.000498,-4.007698,314.048340,29.412943,-15.664443,0.049879,0.093657
7.000000,29.344557,-3.742700,330.900543,35.982933,27.733416,-1.294280,-0.083812,0.108742,-25.001680,-4.008615,313.680542,29.342787,-15.615428,0.049781,0.093544
8.000000,29.563694,-3.747809,331.253540,36.054031,27.794870,-1.251895,-0.083908,0.108841,-25.000057,-4.008075,314.048126,29.272718,-15.566557,0.049567,0.093211
9.000000,29.563694,-3.747809,331.253540,36.054031,27.794870,-1.251895,-0.083908,0.108841,-25.001245,-4.007087,313.317047,29.273535,-15.664567,0.049996,0.093431
10.000000,29.564102,-3.748837,331.617035,36.123680,27.844263,-1.251831,-0.083965,0.108932,-25.001245,-4.007087,313.317047,29.273535,-15.664567,0.049996,0.093431
11.000000,29.569582,-3.308506,331.986786,36.312405,27.795450,-1.251349,-0.083725,0.109379,-24.999622,-4.006547,313.684631,29.203466,-15.615696,0.049782,0.093098
12.000000,29.565849,-3.533902,332.702911,36.324821,27.895021,-1.280992,-0.083844,0.109181,-25.001245,-4.007087,313.317047,29.273535,-15.664567,0.049996,0.093431
13.000000,29.565849,-3.533902,332.702911,36.324821,27.895021,-1.280992,-0.083844,0.109181,-25.002428,-4.008004,312.949310,29.203379,-15.615550,0.049898,0.093317
14.000000,29.790148,-3.534335,333.076019,36.393040,27.953943,-1.323368,-0.083927,0.109263,-25.002428,-4.008004,312.949310,29.203379,-15.615550,0.049898,0.093317
15.000000,29.566256,-3.534930,333.066437,36.394470,27.944414,-1.280928,-0.083900,0.109271,-25.002428,-4.008004,312.949310,29.203379,-15.615550,0.049898,0.093317
16.000000,29.790556,-3.535362,333.439514,36.462688,28.003336,-1.323304,-0.083983,0.109353,-24.783289,-4.012902,312.942902,29.204126,-15.603597,0.049861,0.093321
17.000000,29.790964,-3.536390,333.803009,36.532337,28.052729,-1.323240,-0.084040,0.109443,-24.784269,-4.009869,312.216675,29.204046,-15.604783,0.049981,0.093538
18.000000,29.791370,-3.537418,334.166534,36.601986,28.102121,-1.323176,-0.084096,0.109532,-25.003843,-4.006498,312.586609,29.272551,-15.567597,0.049803,0.093646
19.000000,30.010506,-3.542527,334.519531,36.673084,28.163568,-1.280793,-0.084191,0.109629,-24.784706,-4.011396,312.580200,29.273298,-15.555644,0.049765,0.093651
20.000000,30.011301,-3.542952,334.895203,36.743484,28.113771,-1.281091,-0.083948,0.109716,-25.004589,-4.005888,311.855347,29.133146,-15.567719,0.049920,0.093419
21.000000,30.011843,-3.326565,335.241882,36.804577,28.164934,-1.310019,-0.084014,0.109785,-25.004589,-4.005888,311.855347,29.133146,-15.567719,0.049920,0.093419
22.000000,30.011507,-3.329883,335.964020,36.805603,28.166227,-1.309891,-0.083837,0.109552,-24.782576,-4.223644,311.854126,29.144579,-15.560086,0.049895,0.093456
23.000000,30.012657,-3.328620,335.968903,36.943874,28.263720,-1.309890,-0.084126,0.109962,-25.004845,-4.223176,311.854919,29.144125,-15.569341,0.049925,0.093454
24.000000,30.012657,-3.328620,335.968903,36.943874,28.263720,-1.309890,-0.084126,0.109962,-25.004589,-4.005888,311.855347,29.133146,-15.567719,0.049920,0.093419
25.000000,30.012102,-3.330003,335.962952,37.083759,28.264711,-1.309795,-0.084130,0.110381,-24.783503,-4.007272,311.486816,29.063444,-15.509454,0.049792,0.093306
26.000000,30.012102,-3.330003,335.962952,37.083759,28.264711,-1.309795,-0.084130,0.110381,-25.005772,-4.006804,311.487610,29.062990,-15.518704,0.049821,0.093304
27.000000,30.012321,-3.331938,336.691010,36.944901,28.265013,-1.309763,-0.083949,0.109729,-25.006750,-4.003771,310.761383,29.062910,-15.519889,0.049941,0.093522
28.000000,30.232262,-3.554796,336.688690,37.094746,28.373804,-1.381878,-0.084273,0.110175,-25.006750,-4.003771,310.761383,29.062910,-15.519889,0.049941,0.093522
29.000000,30.231655,-3.339680,337.030487,37.017570,28.327478,-1.410807,-0.084050,0.109834,-24.785664,-4.005155,310.392853,28.993208,-15.461623,0.049813,0.093408
30.000000,30.237774,-3.331100,337.069031,37.151390,28.421427,-1.352138,-0.084319,0.110219,-24.785664,-4.005155,310.392853,28.993208,-15.461623,0.049813,0.093408
31.000000,30.237219,-3.332483,337.063080,37.291267,28.422419,-1.352043,-0.084324,0.110636,-24.787287,-4.005695,310.025269,29.063276,-15.510494,0.050030,0.093745
32.000000,30.232252,-3.339799,337.029449,37.295723,28.425966,-1.410711,-0.084343,0.110660,-24.788288,-4.222373,309.293610,28.934843,-15.512234,0.050154,0.093551
