Seq,1:Fx,1:Fy,1:Fz,1:Mx,1:My,1:Mz,1:COPx,1:COPy,2:Fx,2:Fy,2:Fz,2:Mx,2:My,2:COPx,2:COPy
0.000000,26.658340,-5.131325,244.961945,21.262688,20.380182,-0.589040,-0.083197,0.086800,-33.426704,1.462575,396.344971,37.191643,-19.656792,0.049595,0.093837
1.000000,26.877533,-5.356474,245.318268,21.343910,20.440878,-0.661092,-0.083324,0.087005,-33.205624,1.463095,395.613068,37.192909,-19.745552,0.049911,0.094013
2.000000,26.878735,-5.357926,246.057404,21.483959,20.440474,-0.661325,-0.083072,0.087313,-33.206367,1.463706,394.881836,37.053505,-19.745674,0.050004,0.093834
3.000000,27.098833,-5.362689,246.779877,21.484818,20.550320,-0.618974,-0.083274,0.087061,-33.205925,1.463329,394.881653,36.913284,-19.647789,0.049756,0.093479
4.000000,27.098495,-5.366006,247.501984,21.485840,20.551617,-0.618847,-0.083036,0.086811,-33.213634,1.242432,393.417938,36.923279,-19.647377,0.049940,0.093853
5.000000,27.094595,-5.592184,248.224396,21.638889,20.552994,-0.648755,-0.082800,0.087175,-33.215996,1.240599,392.682465,36.782967,-19.549347,0.049784,0.093671
6.000000,27.100105,-5.368487,248.604706,21.695534,20.600609,-0.619016,-0.082865,0.087269,-33.215557,1.242126,392.318939,36.713715,-19.598488,0.049955,0.093581
7.000000,27.100105,-5.368487,248.604706,21.695534,20.600609,-0.619016,-0.082865,0.087269,-33.214680,1.243277,391.955261,36.504234,-19.549740,0.049877,0.093134
8.000000,27.101477,-5.369160,249.337616,21.694948,20.698400,-0.618983,-0.083014,0.087010,-33.436626,1.246718,391.226349,36.503395,-19.561546,0.050001,0.093305
9.000000,27.096781,-5.594911,249.684357,21.777597,20.749571,-0.648593,-0.083103,0.087221,-33.433449,1.469802,390.497284,36.353828,-19.563114,0.050098,0.093096
10.000000,27.316051,-5.382606,250.020538,21.840147,20.812788,-0.635203,-0.083244,0.087353,-33.212402,1.253175,390.133179,36.294205,-19.409641,0.049751,0.093030
11.000000,27.097784,-5.382259,251.128815,21.910120,20.752232,-0.677692,-0.082636,0.087247,-33.217506,1.029784,389.763245,36.234207,-19.359180,0.049669,0.092965
12.000000,27.093988,-5.387616,251.841675,21.912409,20.852554,-0.592900,-0.082800,0.087009,-33.221729,1.029834,388.665253,36.303299,-19.311085,0.049686,0.093405
13.000000,27.317829,-5.384306,251.116974,21.909204,20.959972,-0.635105,-0.083467,0.087247,-33.222225,1.247733,387.934387,36.152908,-19.309586,0.049775,0.093193
14.000000,27.319033,-5.385758,251.856171,22.049253,20.959572,-0.635339,-0.083220,0.087547,-33.222969,1.248344,387.203156,36.013496,-19.309708,0.049870,0.093009
