Seq,1:Fx,1:Fy,1:Fz,1:Mx,1:My,1:Mz,1:COPx,1:COPy,2:Fx,2:Fy,2:Fz,2:Mx,2:My,2:Mz,2:COPx,2:COPy
0.000000,42.062965,-7.576689,327.187256,-1.572033,12.251289,-2.037362,-0.037444,-0.004805,-41.013741,6.485428,313.295410,45.379021,-36.641045,4.223325,0.116954,0.144844
1.000000,42.057453,-7.800385,326.806915,-1.628677,12.203674,-2.067100,-0.037342,-0.004984,-40.792725,6.698357,313.656982,45.298721,-36.578602,4.235061,0.116620,0.144421
2.000000,41.840706,-8.012101,327.208527,-1.553542,12.335740,-2.080456,-0.037700,-0.004748,-41.010681,6.704174,314.031097,45.368130,-36.639572,4.193461,0.116675,0.144470
3.000000,41.840706,-8.012101,327.208527,-1.553542,12.335740,-2.080456,-0.037700,-0.004748,-41.012741,6.702106,314.027039,45.507450,-36.639305,4.193079,0.116676,0.144916
4.000000,41.840706,-8.012101,327.208527,-1.553542,12.335740,-2.080456,-0.037700,-0.004748,-41.012302,6.703633,313.663513,45.438198,-36.688442,4.193233,0.116968,0.144863
5.000000,41.840706,-8.012101,327.208527,-1.553542,12.335740,-2.080456,-0.037700,-0.004748,-41.010868,6.921839,314.031677,45.497372,-36.735840,4.163142,0.116981,0.144881
6.000000,42.064537,-7.791459,327.214813,-1.565093,12.346017,-2.008464,-0.037731,-0.004783,-40.791981,6.699650,314.024902,45.509098,-36.725502,4.234816,0.116951,0.144922
7.000000,41.616016,-8.012271,326.823242,-1.622512,12.376008,-2.037719,-0.037868,-0.004964,-40.791981,6.699650,314.024902,45.509098,-36.725502,4.234816,0.116951,0.144922
8.000000,41.839909,-8.011676,326.832855,-1.623939,12.385533,-2.080158,-0.037896,-0.004969,-40.787415,6.922289,314.398682,45.567982,-36.775600,4.121633,0.116971,0.144937
9.000000,41.840736,-8.228736,327.219086,-1.685629,12.432167,-2.051198,-0.037993,-0.005151,-40.787415,6.922289,314.398682,45.567982,-36.775600,4.121633,0.116971,0.144937
10.000000,41.840736,-8.228736,327.219086,-1.685629,12.432167,-2.051198,-0.037993,-0.005151,-40.568279,6.917389,314.392273,45.568729,-36.763649,4.163224,0.116936,0.144942
11.000000,41.839993,-8.231027,327.577728,-1.754256,12.384069,-2.051135,-0.037805,-0.005355,-41.008503,6.923673,314.767212,45.637684,-36.833870,4.163124,0.117019,0.144989
12.000000,41.616844,-8.229331,327.209503,-1.684199,12.422638,-2.008758,-0.037965,-0.005147,-40.786232,6.923206,314.766418,45.638138,-36.824615,4.121624,0.116990,0.144990
13.000000,41.617809,-8.228975,327.578949,-1.754434,12.471039,-2.008789,-0.038070,-0.005356,-40.567097,6.918306,314.760010,45.638885,-36.812664,4.163215,0.116955,0.144996
14.000000,41.617809,-8.228975,327.578949,-1.754434,12.471039,-2.008789,-0.038070,-0.005356,-40.566841,7.135599,314.760376,45.627907,-36.811047,4.133132,0.116949,0.144961
15.000000,41.623718,-8.222008,327.240417,-1.688692,12.516607,-2.093610,-0.038249,-0.005160,-40.566841,7.135599,314.760376,45.627907,-36.811047,4.133132,0.116949,0.144961
16.000000,41.398895,-8.439593,326.871948,-1.749113,12.555109,-2.021881,-0.038410,-0.005351,-40.566849,7.137503,314.397064,45.698879,-36.958080,4.133050,0.117552,0.145354
17.000000,41.398151,-8.441883,327.230560,-1.817735,12.507011,-2.021818,-0.038221,-0.005555,-40.566849,7.137503,314.397064,45.698879,-36.958080,4.133050,0.117552,0.145354
18.000000,41.398151,-8.441883,327.230560,-1.817735,12.507011,-2.021818,-0.038221,-0.005555,-40.566593,7.354792,314.397461,45.687901,-36.956459,4.102968,0.117547,0.145319
19.000000,41.617672,-8.446390,327.595734,-1.745886,12.469269,-1.979798,-0.038063,-0.005329,-40.343163,7.135530,314.758972,45.630161,-36.996780,4.091688,0.117540,0.144969
20.000000,41.393791,-8.664317,326.855133,-1.736109,12.556887,-2.051557,-0.038417,-0.005312,-40.343163,7.135530,314.758972,45.630161,-36.996780,4.091688,0.117540,0.144969
21.000000,41.393654,-8.881740,326.871918,-1.727560,12.555117,-2.022565,-0.038410,-0.005285,-40.123772,7.347920,314.752991,45.619930,-36.983208,4.103197,0.117499,0.144939
22.000000,41.394615,-8.881385,327.241364,-1.797795,12.603517,-2.022596,-0.038514,-0.005494,-40.337803,7.576209,315.129303,45.679176,-37.045624,4.091879,0.117557,0.144954
23.000000,41.398975,-8.658951,327.616821,-1.879422,12.553641,-1.992858,-0.038318,-0.005737,-40.341724,7.353735,315.127136,45.689339,-37.044174,4.061596,0.117553,0.144987
24.000000,41.180984,-8.652579,327.268707,-1.812249,12.589684,-2.035239,-0.038469,-0.005537,-40.119453,7.353268,315.126343,45.689789,-37.034927,4.020096,0.117524,0.144989
25.000000,41.175030,-8.656831,326.872925,-1.879769,12.642011,-1.950183,-0.038676,-0.005751,-40.119198,7.570557,315.126740,45.678810,-37.033302,3.990014,0.117519,0.144954
26.000000,40.951191,-8.877473,326.866608,-1.868218,12.631734,-2.022176,-0.038645,-0.005716,-40.119198,7.570557,315.126740,45.678810,-37.033302,3.990014,0.117519,0.144954
27.000000,41.393818,-8.880960,326.865692,-1.868196,12.653314,-2.022298,-0.038711,-0.005715,-40.118015,7.571474,315.494476,45.748966,-37.082321,3.990005,0.117537,0.145007
28.000000,41.393681,-9.098374,326.882507,-1.859651,12.651544,-1.993306,-0.038704,-0.005689,-40.117577,7.573002,315.130981,45.679714,-37.131454,3.990160,0.117829,0.144955
29.000000,40.952156,-8.877118,327.236053,-1.938454,12.680134,-2.022207,-0.038749,-0.005924,-39.898438,7.568104,315.124603,45.680466,-37.119507,4.031751,0.117793,0.144960
