Seq,1:Fx,1:Fy,1:Fz,1:Mx,1:My,1:Mz,1:COPx,1:COPy,2:Fx,2:Fy,2:Fz,2:Mx,2:My,2:Mz,2:COPx,2:COPy
0.000000,20.191872,-5.327613,300.611877,-23.055164,38.398659,3.707953,-0.127735,-0.076694,-19.135696,7.600896,340.598724,-17.091455,-19.244741,-0.934333,0.056503,-0.050181
1.000000,20.190113,-5.327543,299.866760,-23.055328,38.400055,3.708282,-0.128057,-0.076885,-19.134768,7.384524,340.966064,-17.010321,-19.295378,-0.904259,0.056590,-0.049889
2.000000,20.191076,-5.327188,300.236206,-23.125565,38.448456,3.708251,-0.128061,-0.077025,-19.133350,7.383018,341.328766,-17.079493,-19.343328,-0.904120,0.056671,-0.050038
3.000000,20.191076,-5.327188,300.236206,-23.125565,38.448456,3.708251,-0.128061,-0.077025,-19.137270,7.160543,341.326599,-17.069334,-19.341883,-0.934403,0.056667,-0.050009
4.000000,20.191076,-5.327188,300.236206,-23.125565,38.448456,3.708251,-0.128061,-0.077025,-19.134533,7.382102,340.960999,-17.149649,-19.294317,-0.904112,0.056588,-0.050298
5.000000,20.409807,-5.331270,300.225708,-23.124117,38.460510,3.750569,-0.128105,-0.077022,-19.133350,7.383018,341.328766,-17.079493,-19.343328,-0.904120,0.056671,-0.050038
6.000000,20.409807,-5.331270,300.225708,-23.124117,38.460510,3.750569,-0.128105,-0.077022,-19.133350,7.383018,341.328766,-17.079493,-19.343328,-0.904120,0.056671,-0.050038
7.000000,20.404703,-5.555993,300.208893,-23.111113,38.462288,3.720894,-0.128118,-0.076983,-19.137016,7.377832,341.326996,-17.080313,-19.340261,-0.964486,0.056662,-0.050041
8.000000,20.404703,-5.555993,300.208893,-23.111113,38.462288,3.720894,-0.128118,-0.076983,-19.133097,7.600308,341.329163,-17.090471,-19.341711,-0.934203,0.056666,-0.050070
9.000000,20.410603,-5.331695,300.601379,-23.053717,38.410713,3.750272,-0.127780,-0.076692,-19.137270,7.160543,341.326599,-17.069334,-19.341883,-0.934403,0.056667,-0.050009
10.000000,20.409807,-5.331270,300.225708,-23.124117,38.460510,3.750569,-0.128105,-0.077022,-19.133350,7.383018,341.328766,-17.079493,-19.343328,-0.904120,0.056671,-0.050038
