Seq,1:Fx,1:Fy,1:Fz,1:Mx,1:My,1:Mz,1:COPx,1:COPy,2:Fx,2:Fy,2:Fz,2:Mx,2:My,2:Mz,2:COPx,2:COPy
0.000000,12.713979,-6.400675,312.252136,15.808220,35.856548,2.083196,-0.114832,0.050626,-11.453427,5.739579,327.062561,23.313847,-36.711021,0.761443,0.112245,0.071283
1.000000,12.713979,-6.400675,312.252136,15.808220,35.856548,2.083196,-0.114832,0.050626,-11.453427,5.739579,327.062561,23.313847,-36.711021,0.761443,0.112245,0.071283
2.000000,12.496215,-6.396239,312.632080,15.736534,35.892887,2.040846,-0.114809,0.050336,-11.675697,5.740047,327.063354,23.313396,-36.720272,0.802944,0.112273,0.071281
3.000000,12.495252,-6.396594,312.262634,15.806770,35.844490,2.040877,-0.114790,0.050620,-11.894835,5.744946,327.069733,23.312645,-36.732224,0.761352,0.112307,0.071277
4.000000,12.713979,-6.400675,312.252136,15.808220,35.856548,2.083196,-0.114832,0.050626,-11.672565,5.744479,327.068939,23.313099,-36.722973,0.719852,0.112279,0.071279
5.000000,12.714724,-6.398385,311.893524,15.876846,35.904644,2.083133,-0.115118,0.050905,-11.453427,5.739579,327.062561,23.313847,-36.711021,0.761443,0.112245,0.071283
6.000000,12.713183,-6.400250,311.876495,15.737816,35.906345,2.083493,-0.115130,0.050462,-11.453427,5.739579,327.062561,23.313847,-36.711021,0.761443,0.112245,0.071283
7.000000,12.714942,-6.400321,312.621582,15.737984,35.904945,2.083164,-0.114851,0.050342,-11.454844,5.741086,326.699860,23.383018,-36.663067,0.761305,0.112222,0.071573
8.000000,12.708875,-6.625399,312.235321,15.821220,35.858322,2.053520,-0.114844,0.050671,-11.453427,5.739579,327.062561,23.313847,-36.711021,0.761443,0.112245,0.071283
9.000000,12.713979,-6.400675,312.252136,15.808220,35.856548,2.083196,-0.114832,0.050626,-11.453427,5.739579,327.062561,23.313847,-36.711021,0.761443,0.112245,0.071283
10.000000,12.713979,-6.400675,312.252136,15.808220,35.856548,2.083196,-0.114832,0.050626,-11.453864,5.738051,327.426056,23.383099,-36.661884,0.761289,0.111970,0.071415
11.000000,12.714724,-6.398385,311.893524,15.876846,35.904644,2.083133,-0.115118,0.050905,-11.453864,5.738051,327.426056,23.383099,-36.661884,0.761289,0.111970,0.071415
12.000000,12.714724,-6.398385,311.893524,15.876846,35.904644,2.083133,-0.115118,0.050905,-11.454844,5.741086,326.699860,23.383018,-36.663067,0.761305,0.112222,0.071573
13.000000,12.713979,-6.400675,312.252136,15.808220,35.856548,2.083196,-0.114832,0.050626,-11.453427,5.739579,327.062561,23.313847,-36.711021,0.761443,0.112245,0.071283
14.000000,12.713979,-6.400675,312.252136,15.808220,35.856548,2.083196,-0.114832,0.050626,-11.453427,5.739579,327.062561,23.313847,-36.711021,0.761443,0.112245,0.071283
15.000000,12.714724,-6.398385,311.893524,15.876846,35.904644,2.083133,-0.115118,0.050905,-11.453427,5.739579,327.062561,23.313847,-36.711021,0.761443,0.112245,0.071283
16.000000,12.713979,-6.400675,312.252136,15.808220,35.856548,2.083196,-0.114832,0.050626,-11.454844,5.741086,326.699860,23.383018,-36.663067,0.761305,0.112222,0.071573
17.000000,12.713183,-6.400250,311.876495,15.737816,35.906345,2.083493,-0.115130,0.050462,-11.453427,5.739579,327.062561,23.313847,-36.711021,0.761443,0.112245,0.071283
18.000000,12.713979,-6.400675,312.252136,15.808220,35.856548,2.083196,-0.114832,0.050626,-11.453427,5.739579,327.062561,23.313847,-36.711021,0.761443,0.112245,0.071283
19.000000,12.713979,-6.400675,312.252136,15.808220,35.856548,2.083196,-0.114832,0.050626,-11.453427,5.739579,327.062561,23.313847,-36.711021,0.761443,0.112245,0.071283
20.000000,12.713979,-6.400675,312.252136,15.808220,35.856548,2.083196,-0.114832,0.050626,-11.453427,5.739579,327.062561,23.313847,-36.711021,0.761443,0.112245,0.071283
21.000000,12.713979,-6.400675,312.252136,15.808220,35.856548,2.083196,-0.114832,0.050626,-11.453427,5.739579,327.062561,23.313847,-36.711021,0.761443,0.112245,0.071283
22.000000,12.713979,-6.400675,312.252136,15.808220,35.856548,2.083196,-0.114832,0.050626,-11.675697,5.740047,327.063354,23.313396,-36.720272,0.802944,0.112273,0.071281
23.000000,12.713979,-6.400675,312.252136,15.808220,35.856548,2.083196,-0.114832,0.050626,-11.680800,5.516654,326.693451,23.253399,-36.669807,0.772669,0.112245,0.071178
24.000000,12.713183,-6.400250,311.876495,15.737816,35.906345,2.083493,-0.115130,0.050462,-11.454610,5.738662,326.694824,23.243690,-36.662006,0.761452,0.112221,0.071148
25.000000,12.713979,-6.400675,312.252136,15.808220,35.856548,2.083196,-0.114832,0.050626,-11.453427,5.739579,327.062561,23.313847,-36.711021,0.761443,0.112245,0.071283
26.000000,12.713979,-6.400675,312.252136,15.808220,35.856548,2.083196,-0.114832,0.050626,-11.676485,5.522004,327.066803,23.323257,-36.721523,0.689569,0.112275,0.071310
27.000000,12.713979,-6.400675,312.252136,15.808220,35.856548,2.083196,-0.114832,0.050626,-11.457348,5.517104,327.060394,23.324009,-36.709572,0.731160,0.112241,0.071314
28.000000,12.708875,-6.625399,312.235321,15.821220,35.858322,2.053520,-0.114844,0.050671,-11.453682,5.522286,327.062164,23.324825,-36.712639,0.791526,0.112250,0.071316
29.000000,12.713979,-6.400675,312.252136,15.808220,35.856548,2.083196,-0.114832,0.050626,-11.456026,5.740168,326.332123,23.312862,-36.614056,0.761314,0.112199,0.071439
30.000000,12.713979,-6.400675,312.252136,15.808220,35.856548,2.083196,-0.114832,0.050626,-11.454844,5.741086,326.699860,23.383018,-36.663067,0.761305,0.112222,0.071573
