Seq,1:Fx,1:Fy,1:Fz,1:Mx,1:My,1:Mz,1:COPx,1:COPy,2:Fx,2:Fy,2:Fz,2:Mx,2:My,2:Mz,2:COPx,2:COPy
0.000000,-0.032716,0.055976,1.097641,-0.066377,0.090393,0.083741,0.000000,0.000000,-43.238350,11.944985,601.525330,39.262848,-51.409531,4.118966,0.085465,0.065272
1.000000,-0.037957,-0.386163,1.097626,-0.044826,0.090401,0.083057,0.000000,0.000000,-43.236469,12.162814,601.893311,39.181801,-51.359043,4.089111,0.085329,0.065098
2.000000,-0.037770,-0.171463,1.815109,-0.051599,-0.005724,0.053830,0.000000,0.000000,-43.232784,12.387712,601.900513,39.310959,-51.361557,4.119246,0.085332,0.065311
3.000000,-0.256885,-0.167977,1.813438,-0.053800,0.081409,0.011874,0.000000,0.000000,-43.236702,12.165236,601.898376,39.321121,-51.360111,4.088964,0.085330,0.065329
4.000000,-0.256140,-0.165686,1.454811,0.014825,0.129507,0.011811,0.000000,0.000000,-43.232784,12.387712,601.900513,39.310959,-51.361557,4.119246,0.085332,0.065311
5.000000,-0.255922,-0.167622,2.182884,-0.124036,0.129809,0.011843,0.000000,0.000000,-43.233967,12.386795,601.532776,39.240807,-51.312538,4.119255,0.085303,0.065235
6.000000,-0.255514,-0.168649,2.546387,-0.054387,0.179202,0.011907,0.000000,0.000000,-43.232533,12.605004,601.900940,39.299980,-51.359940,4.089164,0.085330,0.065293
7.000000,-0.479407,-0.169252,2.536789,-0.052958,0.169677,0.054345,0.000000,0.000000,-43.233952,12.606510,601.538208,39.369156,-51.311985,4.089025,0.085301,0.065447
8.000000,-0.696548,-0.167779,4.008324,-0.193857,0.255717,0.012094,0.000000,0.000000,-43.233715,12.604088,601.533203,39.229828,-51.310921,4.089173,0.085300,0.065216
9.000000,-1.356524,-0.160875,4.752655,-0.195912,0.319875,-0.030072,0.000000,0.000000,-43.235134,12.605595,601.170532,39.299004,-51.262966,4.089035,0.085272,0.065371
10.000000,-2.239464,0.062415,5.846275,-0.134691,0.326483,-0.059084,-0.055845,-0.023039,-43.232838,12.827528,600.805054,39.358917,-51.313286,4.119090,0.085408,0.065510
11.000000,-2.674186,0.286557,8.064194,-0.147116,0.400816,-0.029457,-0.049703,-0.018243,-43.459030,12.605522,600.803711,39.368622,-51.321091,4.130307,0.085421,0.065527
12.000000,-3.120713,0.062117,9.497116,-0.274335,0.578297,-0.058584,-0.060892,-0.028886,-43.455109,12.827995,600.805908,39.358459,-51.322540,4.160591,0.085423,0.065509
13.000000,-3.782925,0.277690,12.404755,-0.281463,0.744448,-0.045150,-0.060013,-0.022690,-43.674248,12.832895,600.812256,39.357712,-51.334496,4.118999,0.085442,0.065508
14.000000,-5.330863,0.063802,14.970749,-0.339606,0.815519,-0.116979,-0.054474,-0.022685,-43.451534,12.833956,600.447998,39.288910,-51.374382,4.077653,0.085560,0.065433
15.000000,-6.432215,0.068258,17.899170,-0.480113,0.957488,-0.158830,-0.053493,-0.026823,-43.675407,13.051690,600.450012,39.415901,-51.284920,4.088778,0.085411,0.065644
16.000000,-7.313565,0.288940,20.453781,-0.558338,1.062190,-0.187779,-0.051931,-0.027298,-43.232582,13.044817,600.805542,39.347939,-51.311668,4.089007,0.085405,0.065492
17.000000,-7.754270,0.508149,21.534325,-0.497848,1.189566,-0.216552,-0.055240,-0.023119,-43.454853,13.045284,600.806274,39.347481,-51.320923,4.130508,0.085420,0.065491
18.000000,-7.973001,0.512230,21.544838,-0.499297,1.177511,-0.258870,-0.054654,-0.023175,-43.448772,13.275226,600.087891,39.336945,-51.326256,4.077714,0.085531,0.065552
19.000000,-7.536067,0.286042,21.528473,-0.488602,1.299040,-0.144880,-0.060341,-0.022696,-43.671047,13.275693,600.088623,39.336487,-51.335510,4.119216,0.085547,0.065551
20.000000,-7.097723,-0.159229,21.897003,-0.537267,1.369027,-0.145717,-0.062521,-0.024536,-43.678005,13.052279,599.719543,39.414917,-51.187950,4.088648,0.085353,0.065722
21.000000,-7.327127,-0.383520,21.507072,-0.592483,1.311887,-0.133016,-0.060998,-0.027548,-43.448772,13.275226,600.087891,39.336945,-51.326256,4.077714,0.085531,0.065552
22.000000,-7.769479,-0.598476,21.888275,-0.514306,1.337930,-0.103839,-0.061125,-0.023497,-43.672668,13.273248,600.084412,39.335579,-51.237350,4.119070,0.085384,0.065550
23.000000,-7.774961,-1.038807,21.518517,-0.703038,1.386740,-0.104320,-0.064444,-0.032671,-43.674084,13.274754,599.721680,39.404755,-51.189400,4.118931,0.085355,0.065705
24.000000,-7.341122,-1.706594,22.259415,-0.669877,1.407691,0.008297,-0.063240,-0.030094,-43.672413,13.490537,600.084839,39.324600,-51.235733,4.088988,0.085381,0.065532
25.000000,-6.461258,-2.373128,22.274399,-0.639737,1.449088,0.036363,-0.065056,-0.028721,-43.450138,13.490069,600.084045,39.325058,-51.226479,4.047487,0.085366,0.065533
26.000000,-5.805912,-3.037295,21.188202,-0.538955,1.431265,0.106771,-0.067550,-0.025437,-43.672413,13.490537,600.084839,39.324600,-51.235733,4.088988,0.085381,0.065532
27.000000,-4.925342,-3.269330,22.274704,-0.596703,1.524882,0.220374,-0.068458,-0.026788,-43.673828,13.492043,599.722107,39.393776,-51.187782,4.088850,0.085353,0.065687
28.000000,-4.045341,-3.718435,22.272873,-0.575111,1.568049,0.219447,-0.070402,-0.025821,-43.675011,13.491126,599.354370,39.323624,-51.138771,4.088859,0.085323,0.065610
29.000000,-3.832600,-4.166946,22.620972,-0.620737,1.532014,0.261145,-0.067725,-0.027441,-43.894146,13.496024,599.360718,39.322876,-51.150719,4.047267,0.085342,0.065608
30.000000,-3.614006,-4.388450,22.627289,-0.610741,1.542300,0.332455,-0.068161,-0.026991,-44.117832,13.497997,598.998840,39.391594,-51.112022,4.088630,0.085329,0.065762
31.000000,-3.622563,-5.272025,23.366127,-0.708108,1.639114,0.331026,-0.070149,-0.030305,-44.118576,13.498608,598.267578,39.252182,-51.112144,4.088793,0.085434,0.065610
32.000000,-3.401349,-5.713912,25.206467,-0.621842,1.991800,0.431820,-0.079019,-0.024670,-44.118576,13.498608,598.267578,39.252182,-51.112144,4.088793,0.085434,0.065610
