Seq,1:Fx,1:Fy,1:Fz,1:Mx,1:My,1:Mz,1:COPx,1:COPy,2:Fx,2:Fy,2:Fz,2:Mx,2:My,2:Mz,2:COPx,2:COPy
0.000000,10.903160,-8.130888,324.976227,1.132288,32.879326,3.813244,-0.101175,0.003484,-8.158086,5.504970,360.218353,5.084941,-37.632080,0.224792,0.104470,0.014116
1.000000,10.903567,-8.131916,325.339722,1.201937,32.928719,3.813308,-0.101213,0.003694,-8.377505,5.722136,360.950012,5.074492,-37.736683,0.236339,0.104548,0.014059
2.000000,10.903567,-8.131916,325.339722,1.201937,32.928719,3.813308,-0.101213,0.003694,-8.155488,5.504380,360.948792,5.085921,-37.729050,0.224921,0.104527,0.014090
3.000000,11.122702,-8.137025,325.692719,1.273035,32.990166,3.855691,-0.101292,0.003909,-8.155925,5.502853,361.312286,5.155173,-37.679909,0.224766,0.104286,0.014268
4.000000,11.124072,-8.137697,326.425690,1.272445,33.087959,3.855724,-0.101364,0.003898,-8.380494,5.281387,361.678528,5.094813,-37.638844,0.236211,0.104067,0.014087
5.000000,11.124072,-8.137697,326.425690,1.272445,33.087959,3.855724,-0.101364,0.003898,-8.382117,5.280847,361.310944,5.164882,-37.687714,0.235984,0.104308,0.014295
6.000000,11.125035,-8.137342,326.795135,1.202209,33.136360,3.855693,-0.101398,0.003679,-8.380935,5.281764,361.678680,5.235038,-37.736729,0.235975,0.104338,0.014474
7.000000,11.124698,-8.140661,327.517273,1.203231,33.137657,3.855820,-0.101178,0.003674,-8.379519,5.280258,362.041351,5.165866,-37.784683,0.236113,0.104366,0.014269
8.000000,11.125105,-8.141688,327.880768,1.272880,33.187050,3.855884,-0.101217,0.003882,-8.157503,5.062498,362.040192,5.177299,-37.777046,0.224695,0.104345,0.014300
9.000000,10.901958,-8.140001,327.512512,1.342937,33.225620,3.898261,-0.101448,0.004100,-8.380265,5.280869,361.310120,5.026458,-37.784805,0.236277,0.104577,0.013912
10.000000,10.897261,-8.365752,327.859222,1.425582,33.276791,3.868650,-0.101497,0.004348,-8.377177,5.070055,361.320190,5.036242,-37.692303,0.183356,0.104318,0.013938
11.000000,10.901620,-8.143319,328.234680,1.343951,33.226913,3.898389,-0.101229,0.004094,-8.382722,4.847039,360.950470,5.116473,-37.739723,0.152846,0.104557,0.014175
12.000000,10.902365,-8.141028,327.876038,1.412578,33.275013,3.898326,-0.101487,0.004308,-8.163585,4.842139,360.944061,5.117221,-37.727772,0.194438,0.104525,0.014177
13.000000,10.902228,-8.358443,327.892853,1.421126,33.273243,3.927318,-0.101476,0.004334,-8.161962,4.842680,361.311646,5.047153,-37.678902,0.194665,0.104284,0.013969
14.000000,10.901620,-8.143319,328.234680,1.343951,33.226913,3.898389,-0.101229,0.004094,-8.381099,4.847579,361.318054,5.046405,-37.690853,0.153073,0.104315,0.013967
15.000000,10.902990,-8.143991,328.967621,1.343365,33.324707,3.898422,-0.101301,0.004084,-8.382280,4.846663,360.950287,4.976253,-37.641838,0.153082,0.104285,0.013787
