Seq,1:Fx,1:Fy,1:Fz,1:Mx,1:My,1:Mz,1:COPx,1:COPy,2:Fx,2:Fy,2:Fz,2:Mx,2:My,2:Mz,2:COPx,2:COPy
0.000000,13.751000,1.470910,337.957123,21.198992,40.683304,-0.017816,-0.120380,0.062727,-11.770402,-2.369128,301.050354,17.605879,-33.578480,-0.533098,0.111538,0.058482
1.000000,13.756900,1.695209,338.349640,21.256384,40.631729,0.011562,-0.120088,0.062824,-11.770402,-2.369128,301.050354,17.605879,-33.578480,-0.533098,0.111538,0.058482
2.000000,13.981893,1.913581,338.711853,21.176172,40.691422,-0.059902,-0.120136,0.062520,-11.770402,-2.369128,301.050354,17.605879,-33.578480,-0.533098,0.111538,0.058482
3.000000,13.980929,1.913226,338.342438,21.246408,40.643021,-0.059871,-0.120124,0.062796,-11.769965,-2.367600,300.686829,17.536627,-33.627617,-0.532943,0.111836,0.058322
4.000000,13.758409,1.911959,339.065735,21.247248,40.731293,-0.017397,-0.120128,0.062664,-11.772263,-2.589536,301.052216,17.476715,-33.577297,-0.562999,0.111533,0.058052
5.000000,13.534516,1.911364,339.056091,21.248678,40.721771,0.025041,-0.120103,0.062670,-11.555187,-2.596503,301.041779,17.616785,-33.565079,-0.521790,0.111496,0.058519
6.000000,13.534179,1.908045,339.778259,21.249701,40.723064,0.025168,-0.119852,0.062540,-11.772699,-2.591063,301.415741,17.545967,-33.528160,-0.563153,0.111236,0.058212
7.000000,13.752172,1.684342,339.395386,21.190874,40.784164,-0.046648,-0.120167,0.062437,-11.551358,-2.375159,301.047607,17.465286,-33.468273,-0.634728,0.111173,0.058015
8.000000,13.529024,1.686037,339.027100,21.260931,40.822731,-0.004272,-0.120411,0.062712,-11.992764,-2.369793,301.054779,17.464085,-33.489479,-0.634819,0.111240,0.058010
9.000000,13.752172,1.684342,339.395386,21.190874,40.784164,-0.046648,-0.120167,0.062437,-11.991837,-2.586165,301.422119,17.545219,-33.540115,-0.604745,0.111273,0.058208
10.000000,13.971647,1.682550,339.026245,21.260950,40.844315,-0.004393,-0.120475,0.062712,-11.773627,-2.374691,301.048401,17.464832,-33.477524,-0.593227,0.111203,0.058013
11.000000,13.976751,1.907274,339.043030,21.247950,40.842537,0.025283,-0.120464,0.062670,-11.991582,-2.368876,301.422516,17.534241,-33.538498,-0.634828,0.111267,0.058172
12.000000,13.972443,1.682126,339.401917,21.331350,40.794518,-0.004690,-0.120195,0.062850,-11.772467,-2.593486,301.410706,17.406639,-33.527092,-0.563006,0.111234,0.057751
13.000000,13.977547,1.906849,339.418701,21.318346,40.792740,0.024985,-0.120184,0.062808,-11.777802,-2.814453,301.045837,17.485970,-33.477695,-0.593428,0.111205,0.058084
14.000000,13.977684,2.124264,339.401917,21.309801,40.794510,-0.004007,-0.120195,0.062786,-11.773882,-2.591980,301.048004,17.475811,-33.479141,-0.563144,0.111209,0.058050
15.000000,13.758260,1.909548,339.423309,21.456781,40.781677,-0.017238,-0.120150,0.063215,-11.773882,-2.591980,301.048004,17.475811,-33.479141,-0.563144,0.111209,0.058050
16.000000,13.540496,1.913985,339.803223,21.385096,40.818024,-0.059587,-0.120123,0.062934,-11.775298,-2.590474,300.685303,17.544983,-33.431187,-0.563283,0.111183,0.058350
17.000000,13.535531,1.695204,339.077820,21.395502,40.817490,0.054034,-0.120378,0.063099,-11.773627,-2.374691,301.048401,17.464832,-33.477524,-0.593227,0.111203,0.058013
18.000000,13.758628,1.696224,338.711731,21.323671,40.876812,0.011893,-0.120683,0.062955,-11.769707,-2.152216,301.050568,17.454674,-33.478973,-0.562944,0.111207,0.057979
19.000000,14.200980,1.911188,338.330566,21.245497,40.850769,-0.017285,-0.120742,0.062795,-11.771123,-2.150710,300.687866,17.523846,-33.431019,-0.563083,0.111182,0.058279
20.000000,13.986054,2.136312,338.710541,21.302301,40.789833,-0.029769,-0.120427,0.062892,-11.775298,-2.590474,300.685303,17.544983,-33.431187,-0.563283,0.111183,0.058350
21.000000,13.987899,2.356373,338.704590,21.292147,40.888100,-0.058856,-0.120719,0.062863,-11.775298,-2.590474,300.685303,17.544983,-33.431187,-0.563283,0.111183,0.058350
22.000000,13.988139,2.354565,339.074310,21.502428,40.839294,-0.059058,-0.120443,0.063415,-11.781817,-2.812358,299.952667,17.554157,-33.332771,-0.593695,0.111127,0.058523
23.000000,13.765210,2.354325,339.434143,21.433622,40.878170,-0.016649,-0.120430,0.063145,-11.777897,-2.589885,299.954834,17.543999,-33.334221,-0.563412,0.111131,0.058489
