Seq,1:Fx,1:Fy,1:Fz,1:Mx,1:My,1:Mz,1:COPx,1:COPy,2:Fx,2:Fy,2:Fz,2:Mx,2:My,2:Mz,2:COPx,2:COPy
0.000000,17.425474,-2.151007,346.956207,43.291489,30.113403,-0.572431,-0.086793,0.124775,-17.098570,1.568038,289.792664,43.237614,-22.714991,1.818670,0.078384,0.149202
1.000000,17.424511,-2.151362,346.586761,43.361725,30.065002,-0.572400,-0.086746,0.125111,-17.098570,1.568038,289.792664,43.237614,-22.714991,1.818670,0.078384,0.149202
2.000000,17.643459,-2.157387,347.304352,43.224312,30.077362,-0.530051,-0.086602,0.124457,-17.098570,1.568038,289.792664,43.237614,-22.714991,1.818670,0.078384,0.149202
3.000000,17.425474,-2.151007,346.956207,43.291489,30.113403,-0.572431,-0.086793,0.124775,-17.313787,1.795411,289.801208,43.226704,-22.728392,1.807362,0.078428,0.149160
4.000000,17.643459,-2.157387,347.304352,43.224312,30.077362,-0.530051,-0.086602,0.124457,-17.317709,1.572938,289.799042,43.236862,-22.726942,1.777079,0.078423,0.149196
5.000000,17.425474,-2.151007,346.956207,43.291489,30.113403,-0.572431,-0.086793,0.124775,-17.314970,1.794494,289.433472,43.156548,-22.679377,1.807371,0.078358,0.149107
6.000000,17.649309,-1.930373,346.962555,43.279938,30.123680,-0.500439,-0.086821,0.124740,-17.316385,1.796000,289.070770,43.225719,-22.631424,1.807233,0.078290,0.149533
7.000000,17.430578,-1.926283,346.973053,43.278488,30.111626,-0.542755,-0.086784,0.124732,-17.097248,1.791100,289.064392,43.226467,-22.619469,1.848824,0.078251,0.149539
8.000000,17.425474,-2.151007,346.956207,43.291489,30.113403,-0.572431,-0.086793,0.124775,-17.100054,1.789643,288.329041,43.226379,-22.619324,1.848605,0.078450,0.149920
9.000000,17.426018,-1.934628,347.302887,43.352585,30.164566,-0.601358,-0.086854,0.124826,-17.319191,1.794543,288.335449,43.225632,-22.631279,1.807014,0.078489,0.149914
10.000000,17.643867,-2.158415,347.667816,43.293953,30.126755,-0.529987,-0.086654,0.124527,-17.312231,2.016052,289.067871,43.076229,-22.631807,1.837663,0.078292,0.149018
