Seq,1:Fx,1:Fy,1:Fz,1:Mx,1:My,1:Mz,1:COPx,1:COPy,2:Fx,2:Fy,2:Fz,2:Mx,2:My,2:Mz,2:COPx,2:COPy
0.000000,18.428427,-1.933313,355.246368,24.947847,34.698906,0.625667,-0.097676,0.070227,-17.641329,0.381964,284.050110,22.134434,-18.362625,0.174627,0.064646,0.077924
1.000000,18.429171,-1.931023,354.887726,25.016474,34.747005,0.625604,-0.097910,0.070491,-17.641329,0.381964,284.050110,22.134434,-18.362625,0.174627,0.064646,0.077924
2.000000,18.429171,-1.931023,354.887726,25.016474,34.747005,0.625604,-0.097910,0.070491,-17.637844,0.602909,284.415833,22.193523,-18.314934,0.204756,0.064395,0.078032
3.000000,18.429338,-1.930243,354.881500,24.875837,34.845203,0.625870,-0.098188,0.070096,-17.637407,0.604437,284.052307,22.124271,-18.364071,0.204910,0.064650,0.077888
4.000000,18.429338,-1.930243,354.881500,24.875837,34.845203,0.625870,-0.098188,0.070096,-17.638823,0.605943,283.689606,22.193443,-18.316120,0.204772,0.064564,0.078231
5.000000,18.429338,-1.930243,354.881500,24.875837,34.845203,0.625870,-0.098188,0.070096,-17.641329,0.381964,284.050110,22.134434,-18.362625,0.174627,0.064646,0.077924
6.000000,18.206650,-1.932291,355.611053,25.017309,34.835278,0.668077,-0.097959,0.070350,-17.637407,0.604437,284.052307,22.124271,-18.364071,0.204910,0.064650,0.077888
7.000000,18.430542,-1.931695,355.620636,25.015879,34.844799,0.625637,-0.097983,0.070344,-17.635784,0.604977,284.419861,22.054203,-18.315201,0.205138,0.064395,0.077541
8.000000,18.428835,-1.934341,355.609833,25.017488,34.748302,0.625731,-0.097715,0.070351,-17.637407,0.604437,284.052307,22.124271,-18.364071,0.204910,0.064650,0.077888
9.000000,18.430542,-1.931695,355.620636,25.015879,34.844799,0.625637,-0.097983,0.070344,-17.637407,0.604437,284.052307,22.124271,-18.364071,0.204910,0.064650,0.077888
10.000000,18.429579,-1.932050,355.251190,25.086115,34.796398,0.625668,-0.097949,0.070615,-17.856979,0.607808,284.422211,22.192776,-18.326885,0.163165,0.064435,0.078028
11.000000,18.428782,-1.931625,354.875519,25.015715,34.846195,0.625966,-0.098193,0.070492,-17.636040,0.387688,284.419464,22.065182,-18.316818,0.235220,0.064401,0.077580
12.000000,18.429579,-1.932050,355.251190,25.086115,34.796398,0.625668,-0.097949,0.070615,-17.858055,0.605444,284.420654,22.053753,-18.324451,0.246639,0.064427,0.077539
13.000000,18.434683,-1.707334,355.268036,25.073111,34.794621,0.655344,-0.097939,0.070575,-17.635784,0.604977,284.419861,22.054203,-18.315201,0.205138,0.064395,0.077541
14.000000,18.428835,-1.934341,355.609833,25.017488,34.748302,0.625731,-0.097715,0.070351,-17.637844,0.602909,284.415833,22.193523,-18.314934,0.204756,0.064395,0.078032
15.000000,18.428835,-1.934341,355.609833,25.017488,34.748302,0.625731,-0.097715,0.070351,-17.637844,0.602909,284.415833,22.193523,-18.314934,0.204756,0.064395,0.078032
16.000000,18.430542,-1.931695,355.620636,25.015879,34.844799,0.625637,-0.097983,0.070344,-17.637407,0.604437,284.052307,22.124271,-18.364071,0.204910,0.064650,0.077888
17.000000,18.429579,-1.932050,355.251190,25.086115,34.796398,0.625668,-0.097949,0.070615,-17.637844,0.602909,284.415833,22.193523,-18.314934,0.204756,0.064395,0.078032
18.000000,18.429579,-1.932050,355.251190,25.086115,34.796398,0.625668,-0.097949,0.070615,-17.859673,0.603000,284.416443,22.052849,-18.226299,0.246493,0.064083,0.077537
19.000000,18.429579,-1.932050,355.251190,25.086115,34.796398,0.625668,-0.097949,0.070615,-18.078814,0.609802,284.059509,22.123066,-18.385277,0.204820,0.064723,0.077882
20.000000,18.429579,-1.932050,355.251190,25.086115,34.796398,0.625668,-0.097949,0.070615,-17.856543,0.609335,284.058716,22.123524,-18.376026,0.163320,0.064691,0.077884
21.000000,18.429579,-1.932050,355.251190,25.086115,34.796398,0.625668,-0.097949,0.070615,-17.637407,0.604437,284.052307,22.124271,-18.364071,0.204910,0.064650,0.077888
22.000000,18.430542,-1.931695,355.620636,25.015879,34.844799,0.625637,-0.097983,0.070344,-18.080229,0.611308,283.696777,22.192238,-18.337326,0.204681,0.064637,0.078225
23.000000,18.647509,-1.935707,354.865021,25.017164,34.858250,0.668286,-0.098230,0.070498,-17.637407,0.604437,284.052307,22.124271,-18.364071,0.204910,0.064650,0.077888
24.000000,18.434294,-1.707937,355.255859,25.072363,34.893810,0.655705,-0.098222,0.070576,-17.636967,0.604060,284.052124,21.984043,-18.266186,0.205147,0.064306,0.077394
25.000000,18.210791,-1.707929,355.258423,25.074541,34.785099,0.697784,-0.097915,0.070581,-17.637407,0.604437,284.052307,22.124271,-18.364071,0.204910,0.064650,0.077888
26.000000,18.429579,-1.932050,355.251190,25.086115,34.796398,0.625668,-0.097949,0.070615,-17.637663,0.387148,284.051880,22.135250,-18.365692,0.234993,0.064656,0.077927
27.000000,18.429579,-1.932050,355.251190,25.086115,34.796398,0.625668,-0.097949,0.070615,-17.856798,0.392046,284.058289,22.134502,-18.377644,0.193402,0.064697,0.077922
28.000000,18.429579,-1.932050,355.251190,25.086115,34.796398,0.625668,-0.097949,0.070615,-17.858213,0.393552,283.695587,22.203674,-18.329693,0.193263,0.064610,0.078266
29.000000,18.429985,-1.933078,355.614716,25.155764,34.845791,0.625732,-0.097987,0.070739,-17.858213,0.393552,283.695587,22.203674,-18.329693,0.193263,0.064610,0.078266
30.000000,18.429985,-1.933078,355.614716,25.155764,34.845791,0.625732,-0.097987,0.070739,-17.856543,0.609335,284.058716,22.123524,-18.376026,0.163320,0.064691,0.077884
31.000000,18.653816,-1.712444,355.621002,25.144209,34.856068,0.697728,-0.098015,0.070705,-17.859907,0.605423,284.421478,22.192177,-18.227360,0.246346,0.064086,0.078026
32.000000,18.429985,-1.933078,355.614716,25.155764,34.845791,0.625732,-0.097987,0.070739,-17.856771,0.609853,284.427063,22.191879,-18.230061,0.163254,0.064094,0.078023
33.000000,18.429985,-1.933078,355.614716,25.155764,34.845791,0.625732,-0.097987,0.070739,-17.860651,0.606033,283.690216,22.052765,-18.227486,0.246509,0.064251,0.077735
34.000000,18.429985,-1.933078,355.614716,25.155764,34.845791,0.625732,-0.097987,0.070739,-17.860859,0.603987,283.685364,22.053661,-18.324310,0.246420,0.064594,0.077740
35.000000,18.429190,-1.932653,355.239044,25.085363,34.895588,0.626030,-0.098231,0.070615,-17.638844,0.386231,283.684143,22.065090,-18.316677,0.235001,0.064567,0.077780
36.000000,18.435089,-1.708362,355.631500,25.142759,34.844013,0.655408,-0.097978,0.070699,-17.640259,0.387737,283.321442,22.134262,-18.268723,0.234863,0.064481,0.078124
37.000000,18.429985,-1.933078,355.614716,25.155764,34.845791,0.625732,-0.097987,0.070739,-17.637407,0.604437,284.052307,22.124271,-18.364071,0.204910,0.064650,0.077888
38.000000,18.430948,-1.932723,355.984161,25.085527,34.894192,0.625701,-0.098022,0.070468,-17.856102,0.608958,284.058533,21.983295,-18.278137,0.163556,0.064346,0.077390
39.000000,18.430948,-1.932723,355.984161,25.085527,34.894192,0.625701,-0.098022,0.070468,-17.859140,0.609924,283.328247,22.122536,-18.279057,0.163190,0.064515,0.078081
40.000000,18.430948,-1.932723,355.984161,25.085527,34.894192,0.625701,-0.098022,0.070468,-17.640005,0.605026,283.321838,22.123283,-18.267105,0.204781,0.064475,0.078085
41.000000,18.430948,-1.932723,355.984161,25.085527,34.894192,0.625701,-0.098022,0.070468,-17.860859,0.603987,283.685364,22.053661,-18.324310,0.246420,0.064594,0.077740
42.000000,18.435089,-1.708362,355.631500,25.142759,34.844013,0.655408,-0.097978,0.070699,-17.862274,0.605493,283.322632,22.122833,-18.276356,0.246282,0.064507,0.078084
43.000000,18.436052,-1.708007,356.000946,25.072523,34.892414,0.655377,-0.098012,0.070428,-17.857958,0.610841,283.695984,22.192696,-18.328072,0.163181,0.064605,0.078227
44.000000,18.430948,-1.932723,355.984161,25.085527,34.894192,0.625701,-0.098022,0.070468,-17.862528,0.388204,283.322235,22.133812,-18.277973,0.276364,0.064513,0.078122
