Seq,1:Fx,1:Fy,1:Fz,1:Mx,1:My,1:Mz,1:COPx,1:COPy,2:Fx,2:Fy,2:Fz,2:Mx,2:My,2:Mz,2:COPx,2:COPy
0.000000,23.561913,-6.496226,341.498566,20.619738,26.412695,0.847232,-0.077344,0.060380,-24.903673,-1.752387,295.061493,19.989069,-17.823709,0.686006,0.060407,0.067745
1.000000,23.567017,-6.271502,341.515411,20.606733,26.410917,0.876907,-0.077334,0.060339,-24.902050,-1.751847,295.429077,19.919001,-17.774837,0.686233,0.060166,0.067424
2.000000,23.567017,-6.271502,341.515411,20.606733,26.410917,0.876907,-0.077334,0.060339,-24.682913,-1.756747,295.422668,19.919752,-17.762886,0.727825,0.060127,0.067428
3.000000,23.567152,-6.054087,341.498596,20.598185,26.412687,0.847916,-0.077343,0.060317,-25.124319,-1.751380,295.429871,19.918550,-17.784092,0.727734,0.060197,0.067422
4.000000,23.348421,-6.049998,341.509125,20.596735,26.400633,0.805597,-0.077306,0.060311,-25.125942,-1.751920,295.062286,19.988619,-17.832962,0.727507,0.060438,0.067744
5.000000,23.348421,-6.049998,341.509125,20.596735,26.400633,0.805597,-0.077306,0.060311,-24.903673,-1.752387,295.061493,19.989069,-17.823709,0.686006,0.060407,0.067745
6.000000,23.567017,-6.271502,341.515411,20.606733,26.410917,0.876907,-0.077334,0.060339,-24.903419,-1.535098,295.061890,19.978094,-17.822092,0.655923,0.060401,0.067708
7.000000,23.566189,-6.054442,341.129150,20.668421,26.364288,0.847947,-0.077285,0.060588,-24.903419,-1.535098,295.061890,19.978094,-17.822092,0.655923,0.060401,0.067708
8.000000,23.566406,-6.056378,341.857239,20.529558,26.364590,0.847978,-0.077122,0.060053,-24.684282,-1.539998,295.055511,19.978842,-17.810139,0.697515,0.060362,0.067712
9.000000,23.566597,-6.055470,341.492645,20.738070,26.413681,0.848011,-0.077348,0.060728,-24.899500,-1.312625,295.064087,19.967932,-17.823540,0.686207,0.060406,0.067673
10.000000,23.566597,-6.055470,341.492645,20.738070,26.413681,0.848011,-0.077348,0.060728,-24.899500,-1.312625,295.064087,19.967932,-17.823540,0.686207,0.060406,0.067673
11.000000,23.567560,-6.055115,341.862091,20.667833,26.462080,0.847980,-0.077406,0.060457,-24.899754,-1.529914,295.063660,19.978910,-17.825159,0.716289,0.060411,0.067711
12.000000,23.566734,-5.838047,341.475861,20.729525,26.415451,0.819019,-0.077357,0.060706,-25.122023,-1.529447,295.064453,19.978456,-17.834410,0.757790,0.060442,0.067709
13.000000,23.567141,-5.839075,341.839386,20.799166,26.464844,0.819083,-0.077419,0.060845,-24.680363,-1.317525,295.057678,19.968679,-17.811586,0.727798,0.060366,0.067677
14.000000,23.353514,-5.610277,341.866699,20.784716,26.451012,0.806440,-0.077372,0.060798,-25.121769,-1.312158,295.064880,19.967482,-17.832792,0.727708,0.060437,0.067671
15.000000,23.572245,-5.614351,341.856171,20.786165,26.463070,0.848759,-0.077410,0.060804,-24.899500,-1.312625,295.064087,19.967932,-17.823540,0.686207,0.060406,0.067673
16.000000,23.349205,-5.835425,342.225555,20.868116,26.402992,0.776467,-0.077151,0.060978,-24.900686,-1.311638,294.333008,19.968746,-17.921551,0.686134,0.060889,0.067844
17.000000,23.353514,-5.610277,341.866699,20.784716,26.451012,0.806440,-0.077372,0.060798,-24.681543,-1.318442,294.689941,19.898527,-17.762571,0.727807,0.060275,0.067524
18.000000,23.349205,-5.835425,342.225555,20.868116,26.402992,0.776467,-0.077151,0.060978,-24.900227,-1.092303,294.338257,19.956869,-17.823107,0.656140,0.060553,0.067802
19.000000,23.573505,-5.835851,342.598663,20.936338,26.461910,0.734093,-0.077239,0.061110,-24.895142,-1.088623,294.702728,19.888521,-17.874128,0.716644,0.060651,0.067487
20.000000,23.353922,-5.611304,342.230194,20.854364,26.500404,0.806505,-0.077434,0.060937,-25.124372,-1.309664,293.971069,20.037468,-17.882851,0.727497,0.060832,0.068161
21.000000,23.353922,-5.611304,342.230194,20.854364,26.500404,0.806505,-0.077434,0.060937,-24.896996,-1.088644,294.703552,20.026945,-17.777037,0.716351,0.060322,0.067956
22.000000,23.577814,-5.610702,342.239777,20.852934,26.509933,0.764066,-0.077460,0.060931,-24.681780,-1.316019,294.694977,20.037851,-17.763632,0.727660,0.060278,0.067995
23.000000,23.578220,-5.611729,342.603302,20.922583,26.559326,0.764130,-0.077522,0.061069,-24.896996,-1.088644,294.703552,20.026945,-17.777037,0.716351,0.060322,0.067956
24.000000,23.579102,-5.392024,342.227875,20.982660,26.609194,0.735076,-0.077753,0.061312,-24.900917,-1.311119,294.701355,20.037104,-17.775587,0.686068,0.060317,0.067991
25.000000,23.578358,-5.394314,342.586487,20.914034,26.561096,0.735139,-0.077531,0.061047,-24.901314,-1.092089,293.966858,20.028053,-17.872345,0.799370,0.060797,0.068130
26.000000,23.354465,-5.394909,342.576874,20.915464,26.551567,0.777577,-0.077505,0.061053,-24.682966,-1.315032,293.963898,20.038666,-17.861645,0.727587,0.060761,0.068167
27.000000,23.355261,-5.395334,342.952545,20.985865,26.501770,0.777279,-0.077275,0.061192,-25.120451,-1.087189,293.973267,20.027306,-17.884296,0.757780,0.060836,0.068126
28.000000,23.355261,-5.395334,342.952545,20.985865,26.501770,0.777279,-0.077275,0.061192,-24.902540,-1.311659,294.333801,20.107174,-17.824459,0.685841,0.060559,0.068314
